word_count,char_count,has_urgency_keyword,exclamation_count,question_mark_count,caps_ratio,sentiment_polarity,mention_count,priority
10.0,46.0,0,1.0,0.0,0.0,0.5,0.0,URGENT
15.0,83.0,0,1.0,0.0,0.0,-0.35000000000000003,1.0,NORMAL
53.0,275.0,0,0.0,0.0,0.0,0.16,0.0,NORMAL
19.0,103.0,1,5.0,1.0,0.0,0.0,1.0,URGENT
47.0,252.0,0,0.0,0.0,0.0,0.11666666666666668,0.0,NORMAL
11.0,60.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
53.0,270.0,1,0.0,0.0,0.0,0.45,1.0,URGENT
21.0,118.0,1,1.0,0.0,0.0,0.0,0.0,URGENT
46.0,268.0,1,0.0,0.0,0.021739130434782608,0.1,0.0,URGENT
7.0,32.0,0,0.0,0.0,0.0,0.0,1.0,URGENT
3.0,16.0,0,0.0,0.0,0.0,0.4,0.0,NORMAL
23.0,126.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
10.0,63.0,0,1.0,0.0,0.0,0.0,0.0,NORMAL
21.0,110.0,0,0.0,3.0,0.047619047619047616,-0.012500000000000011,1.0,NORMAL
24.0,143.0,0,0.0,0.0,0.0,-1.0,0.0,NORMAL
1.0,3.0,0,0.0,0.0,0.0,0.0,0.0,URGENT
18.0,93.0,0,0.0,1.0,0.0,-0.3,0.0,URGENT
4.0,27.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
30.0,185.0,1,1.0,0.0,0.03333333333333333,0.0,1.0,URGENT
6.0,39.0,0,0.0,0.0,0.0,-0.75,0.0,URGENT
12.0,64.0,0,0.0,0.0,0.0,-0.05,1.0,NORMAL
9.0,73.0,0,0.0,0.0,0.0,0.2,1.0,NORMAL
45.0,253.0,1,2.0,1.0,0.0,-0.05714285714285715,1.0,URGENT
19.0,101.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
17.0,93.0,0,0.0,0.0,0.0,0.0,1.0,NORMAL
22.0,134.0,0,0.0,1.0,0.0,0.0625,1.0,NORMAL
2.0,7.0,0,0.0,0.0,0.0,-0.75,0.0,URGENT
27.0,138.0,0,0.0,0.0,0.0,0.01785714285714285,0.0,NORMAL
14.0,57.0,0,0.0,1.0,0.0,-0.2916666666666667,0.0,NORMAL
12.0,69.0,1,0.0,0.0,0.0,-0.07777777777777778,1.0,URGENT
12.0,63.0,0,0.0,0.0,0.0,0.8,1.0,URGENT
10.0,68.0,1,1.0,1.0,0.0,0.0,1.0,URGENT
20.0,113.0,0,0.0,0.0,0.0,0.7,0.0,URGENT
12.0,73.0,1,0.0,0.0,0.0,-0.8,2.0,URGENT
17.0,94.0,0,0.0,1.0,0.0,0.0,0.0,NORMAL
10.0,58.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
25.0,125.0,0,0.0,0.0,0.0,0.175,0.0,URGENT
6.0,44.0,0,0.0,0.0,0.0,-0.2,1.0,NORMAL
23.0,118.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
24.0,136.0,0,1.0,1.0,0.0,-0.3104166666666667,1.0,URGENT
20.0,133.0,0,1.0,1.0,0.0,-0.325,0.0,URGENT
24.0,133.0,1,3.0,0.0,0.0,0.06189236111111111,0.0,URGENT
14.0,80.0,0,0.0,0.0,0.0,0.13636363636363635,1.0,NORMAL
